YEAR,MONTH,IDS_TO_BE_DELETED
2018,1,"15949290,15949291,15949292,15949293,15949294,15949295,15949296,15949297,15949298,15949299,15949300,15949301,15949302,15949303,15959231,15959232,15959233,15967898,15967899,15967900,15967901,15967902,15988569,15988570,15988571,15988572,15988573,15988574,15988575,15988576,15988577,15988578,15988579,15988580,15988581,15988582,15988583,15988584,15988585,15988586,15988587,16001608,16001609,16001610,16001611,16001612,16001613,16001614,16001615,16001616,16001617"
2018,2,"1,60,52,37,61,60,52,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
2018,3,"16112862,16123292,16123293,16123294,16123295,16123296,16123297,16123298,16123299,16123300,16123301,16123302,16123303,16123304,16123305,16123306,16123307,16123308,16123309,16123310,16123311,16123312,16123313,16123314,16123315,16123316,16123317,16123318,16123319,16123320,16134969,16134970,16134971,16134972,16134973,16134974,16134975,16134976,16134977,16134978,16134979,16134980,16134981,16176699,16176700,16176701,16176702,16176703,16176704,16176705,16176706,16176707,16176708,16176709,16176710,16184650,16184651,16184652,16184653,16184654,16186394,16186395,16222982,16222983,16222984,16222985,16222986,16222987,16222988,16222989,16222990,16222991,16222992,16222993,16222994,16222995,16222996,16222997,16222998,16222999,16223000,16223001,16223002,16223003,16223004,16242815,16248555,16248556,16248557,16248627,16248736,16248744,16248745,16248746,16248747,16248748,16248749,16248750,16248779,16248842,16248843,16248848,16248849,16248850,16248853,16248858,16248869,16248870,16248871,16248872,16248914,16248926,16248927,16248928,16248935,16248936,16248937,16248938,16248971,16248972,16248973,16248974,16248975,16248976,16248977,16248978,16248979,16248980,16248981,16248982,16248983,16248984,16248985,16248990,16248991,16248992,16248993,16248994,16248995,16248996,16248997,16248998,16248999,16249000,16249001,16249017,16249027,16249038,16249039,16249044,16249045,16249046,16249047,16249055,16249056,16249067,16249068,16249069,16249083,16249084,16249088,16249089,16249090,16249091,16249092,16249093,16249094,16249095,16249118,16249119,16249120,16249121,16249122,16249123,16249124,16249125,16249126,16249127,16249128,16249129,16249130,16249133,16249134,16249135,16249136,16249137,16249138,16249139,16249140,16249141,16249142,16249143,16249144,16249145,16249146,16249149,16249150,16249151,16249152,16249153,16249154,16249155,16249156,16249178,16249179,16249180,16249181,16249182,16249183,16249184,16249185,16249186,16249187,16249188,16249189,16249190,16249191,16249192,16249193,16249194,16249195,16249196,16249197,16249204,16249205,16249206,16249207,16249218,16249219,16249246,16249247,16249248,16249249,16249250,16249251,16249252,16249266,16249267,16249268,16249269,16249270,16249271,16249272,16249273,16249274,16249275,16249276,16249277,16249278,16249279,16249280,16249281,16249282,16249283,16249284,16249285,16249286,16249287,16249288,16249289,16249290,16249291,16249292,16249293,16249294,16249295,16249296,16249297,16249302,16249303,16249304,16249305,16249306,16249307,16249308,16249309,16249318,16249319,16249320,16249321,16249322,16249323,16249324,16249325,16249326,16249327,16249330,16249331,16249332,16249333,16249334,16249335,16249336,16249337,16249346,16249347,16249348,16249375,16249376,16249377,16249378,16249379,16249380,16249381,16249382,16249383,16249384,16249385,16249386,16249387,16249388,16249389,16249390,16249391,16249392,16249393,16249407,16249408,16249409,16249410,16249411,16249412,16249415,16249416,16249417,16249418,16249419,16249420,16249421,16249422,16249423,16249424,16249425,16249426,16249427,16249447,16249481,16249482,16249483,16249484,16249485,16249486,16249487,16249494,16249495,16249496,16249497,16249498,16249499,16249500,16249501,16249502,16249503,16249504,16249505,16249506,16249507,16249508,16249509,16249510,16249511,16249512,16249513,16249514,16249515,16249516,16249517,16249518,16249519,16249520,16249521,16249522,16249523,16249524,16249527,16249533,16249534,16249535,16249536,16249537,16249538,16249539,16249540,16249541,16249542,16249543,16249544,16249545,16249546,16249547,16249549,16249575,16249576,16249577,16249578,16249579,16249580,16249581,16249582,16249583,16249584,16249585,16249586,16249587,16249588,16249589,16249590,16249591,16249592,16249593,16249594,16249595,16249596,16249597,16249598,16249599,16249600,16249601,16249602,16249603,16249604,16249605,16249606,16249607,16249608,16249609,16249610,16249611,16249612,16249613,16249614,16249615,16249616,16249617,16249618,16249619,16249620,16249621,16249622,16249623,16249624,16249625,16249626,16249627,16249628,16249629,16249630,16249631,16249632,16249635,16249636,16249637,16249638,16249639,16249640,16249642,16249643,16249658,16249660,16249661,16249662,16249679,16249680,16249681,16249682,16249683,16249684,16249685,16249706,16249707,16249708,16249709,16249719,16249720,16249721,16249722,16249723,16249724,16249725,16249726,16249727,16249728,16249729,16249730,16249731,16249732,16249733,16249734,16249735,16249736,16249737,16249738,16249739,16249740,16249741,16249742,16249743,16249744,16249764,16249767,16249768,16249769,16249770,16249771,16249772,16249773,16249774,16249775,16249776,16249777,16249778,16249779,16249780,16249781,16249782,16249786,16249787,16249788,16249789,16249790,16249791,16249792,16249793,16249794,16249795,16249796,16249797,16249798,16249799,16249817,16249818,16249819,16249820,16249821,16249822,16249823,16249824,16249825,16249826,16249827,16249828,16249829,16249830,16249831,16249832,16249833,16249834,16249835,16249836,16250050,16250055,16250063,16250064,16250065,16250066,16250067,16250068,16250069,16250070,16250071,16250081,16250082,16250083,16250084,16250085,16250086,16250087,16250088,16250089,16250090,16250091,16250092,16250093,16250094,16250095,16250109,16250110,16250111,16250112,16250113,16250114,16250115,16250116,16250117,16250118,16250167,16250168,16250169,16250170,16250183,16250222,16250235,16250236,16250237,16250238,16250239,16250240,16250241,16250242,16250243,16250244,16250245,16250246,16250247,16250302,16250303,16250304,16250305,16250306,16250307,16250308,16250309,16250310,16250311,16250312,16250313,16250314,16250315,16250316,16250317,16250320,16250321,16250322,16250323,16250324,16250325,16250326,16250327,16250328,16250381,16250422,16250423,16250424,16250425,16250426,16250427,16250434,16250435,16250436,16250437,16250438,16250439,16250440,16250441,16250442,16250443,16250444,16250445,16250446,16250447,16250448,16250449,16250472,16250473,16250474,16250475,16250476,16250477,16250478,16250479,16250480,16250481,16250482,16250483,16250484,16250485,16250490,16250498,16250523,16250524,16250525,16250526,16250527,16250528,16250529,16250530,16250531,16250532,16250533,16250534,16250541,16250574,16250576,16250577,16250578,16250579,16250580,16250581,16250582,16250583,16250584,16250585,16250586,16250587,16250588,16250589,16250590,16250620,16250647,16250648,16250649,16250650,16250651,16250652,16250653,16250654,16250655,16250656,16250657,16250658,16250659,16250660,16250661,16250662,16250663,16250664,16250665,16250666,16250667,16250668,16250669,16250670,16250671,16250672,16250673,16250674,16250675,16250687,16250688,16250689,16250690,16250691,16250692,16250693,16250694,16250695,16250696,16250697,16250698,16250699,16250700,16250701,16250702,16250703,16250706,16250708,16250709,16250710,16250711,16250712,16250713,16250714,16250715,16250716,16250717,16250718,16250719,16250720,16250721,16250722,16250725,16250726,16250727,16250728,16250729,16250730,16250731,16250732,16250733,16250768,16250769,16250770,16250771,16250772,16250773,16250774,16250775,16250776,16250777,16250778,16250779,16250780,16250785,16250802,16250803,16250804,16250805,16250806,16250807,16250808,16250809,16250810,16250811,16250812,16250813,16250814,16250815,16250816,16250817,16250824,16250825,16250826,16250827,16250828,16250829,16250830,16250831,16250832,16250833,16250834,16250835,16250852,16250853,16250854,16250855,16250856,16250857,16250858,16250859,16250860,16250861,16250862,16250863,16250864,16250865,16250875,16250876,16250877,16250878,16250879,16250880,16250881,16250882,16250883,16250884,16250887,16250888,16250889,16250890,16250891,16250892,16250893,16250894,16250895,16250896,16250897,16250926,16250931,16250932,16250933,16250934,16250935,16250936,16250937,16250938,16250939,16250940,16250941,16250942,16250953,16250954,16250955,16250960,16250961,16250962,16250963,16250964,16250965,16250966,16250967,16250968,16250969,16250970,16250971,16250972,16250977,16250988,16250993,16250994,16250995,16250996,16250997,16250998,16250999,16251000,16251001,16251002,16251003,16251004,16251005,16251036,16251037,16251038,16251039,16251040,16251041,16251042,16251043,16251044,16251045,16251046,16251047,16251048,16251049,16251050,16251053,16251054,16251058,16251059,16251060,16251061,16251062,16251063,16251064,16251065,16251066,16251067,16251068,16251069,16251070,16251071,16251072,16251073,16251074,16251075,16251076,16251077,16251078,16251079,16251080,16251081,16251082,16251098,16251112,16251113,16251114,16251115,16251116,16251117,16251118,16251125,16251126,16251127,16251128,16251129,16251130,16251131,16251132,16251133,16251134,16251135,16251136,16251137,16251138,16251148,16251149,16251150,16251151,16251152,16251153,16251154,16251155,16251156,16251157,16251158,16251159,16251160,16251161,16251162,16251163,16251164,16251165,16251166,16251169,16251170,16251171,16251172,16251173,16251174,16251175,16251176,16251177,16251178,16251179,16251189,16251190,16251191,16251192,16251193,16251194,16251195,16251196,16251197,16251198,16251199,16251200,16251201,16251202,16251203,16251204,16251205,16251206,16251207,16251208,16251209,16251210,16251211,16251213,16251244,16251245,16251246,16251247,16251248,16251249,16251250,16251251,16251252,16251253,16251254,16251257,16251258,16251259,16251260,16251261,16251262,16251263,16251264,16251265,16251266,16251267,16251268,16251269,16251270,16251271,16251272,16251273,16251274,16251275,16251282,16251306,16251307,16251308,16251309,16251310,16251311,16251312,16251313,16251314,16251315,16251316,16251333,16251334,16251335,16251336,16251337,16251338,16251339,16251340,16251341,16251342,16251343,16251344,16251345,16251346,16251347,16251348,16251349,16251350,16251351,16251352,16251353,16251354,16251355,16251372,16251375,16251376,16251377,16251378,16251379,16251380,16251381,16251382,16251383,16251384,16251385,16251386,16251387,16251388,16251389,16251393,16251395,16251396,16251425,16251426,16251427,16251428,16251429,16251430,16251431,16251432,16251433,16251434,16251435,16251436,16251437,16251438,16251439,16251440,16251441,16251442,16251443,16251444,16251472,16251473,16251474,16251475,16251476,16251477,16251478,16251479,16251485,16251486,16251487,16251488,16251489,16251490,16251491,16251492,16251493,16251494,16251495,16251496,16251497,16251498,16251499,16251500,16251501,16251502,16251503,16251504,16251505,16251506,16251507,16251508,16251509,16251510,16251514,16251515,16251516,16251517,16251518,16251519,16251520,16251521,16251522,16251523,16251524,16251525,16251526,16251527,16251528,16251529,16251530,16251537,16251538,16251539,16251540,16251541,16251542,16251543,16251544,16251545,16251546,16251561,16251562,16251563,16251564,16251565,16251566,16251567,16251568,16251569,16251570,16251571,16251655,16251670,16251671,16251672,16251673,16251674,16251675,16251676,16251677,16251678,16251679,16251680,16251681,16251682,16251683,16251684,16251685,16251686,16251766,16251767,16251768,16251769,16251770,16251771,16251772,16251773,16251774,16251775,16251776,16251777,16251778,16251779,16251780,16251781,16251782,16251783,16251784,16251785,16251786,16251787,16251789,16251812,16251813,16251814,16251815,16251816,16251817,16251818,16251819,16251820,16251821,16251822,16251828,16251829,16251830,16251831,16251832,16251833,16251834,16251835,16251836,16251837,16251838,16251839,16251840,16251841,16251842,16251843,16251844,16251845,16251846,16251847,16251848,16251849,16251850,16251854,16251864,16251865,16251866,16251867,16251868,16251869,16251870,16251871,16251872,16251873,16251874,16251875,16251876,16251877,16251878,16251879,16251880,16251881,16251882,16251883,16251884,16251885,16251886,16251887,16251888,16251889,16251890,16251891,16251892,16251893,16251894,16251895,16251896,16251897,16251898,16251899,16251900,16251901,16251902,16251903,16251904,16251905,16251906,16251907,16251908,16251909"
